nodeid,sensorname,timestamp,timestampint,reading,time_s
8,Bin 5,2021-08-19 17:42:58,1629391378000,0.0,1.0
8,Bin 5,2021-08-19 17:43:01,1629391381000,0.0,4.0
8,Bin 5,2021-08-19 17:43:03,1629391383000,0.0,6.0
8,Bin 5,2021-08-19 17:43:06,1629391386000,0.0,9.0
8,Bin 5,2021-08-19 17:43:08,1629391388000,0.25952455401420593,11.0
8,Bin 5,2021-08-19 17:43:11,1629391391000,0.0,14.0
8,Bin 5,2021-08-19 17:43:14,1629391394000,0.0,17.0
8,Bin 5,2021-08-19 17:43:17,1629391397000,0.0,20.0
8,Bin 5,2021-08-19 17:43:20,1629391400000,0.2478683292865753,23.0
8,Bin 5,2021-08-19 17:43:22,1629391402000,0.0,25.0
8,Bin 5,2021-08-19 17:43:25,1629391405000,0.0,28.0
8,Bin 5,2021-08-19 17:43:28,1629391408000,0.0,31.000000000000004
8,Bin 5,2021-08-19 17:43:30,1629391410000,0.0,33.0
8,Bin 5,2021-08-19 17:43:33,1629391413000,0.0,36.0
8,Bin 5,2021-08-19 17:43:35,1629391415000,0.2715546488761902,38.0
8,Bin 5,2021-08-19 17:43:38,1629391418000,0.2488800436258316,41.0
8,Bin 5,2021-08-19 17:43:40,1629391420000,0.5040322542190552,43.0
8,Bin 5,2021-08-19 17:43:43,1629391423000,0.2642706036567688,46.0
8,Bin 5,2021-08-19 17:43:45,1629391425000,0.5072923302650452,48.0
8,Bin 5,2021-08-19 17:43:48,1629391428000,0.4919323027133942,51.0
8,Bin 5,2021-08-19 17:43:51,1629391431000,1.7378082275390625,54.0
8,Bin 5,2021-08-19 17:43:54,1629391434000,1.1127926111221311,57.0
8,Bin 5,2021-08-19 17:43:56,1629391436000,1.5086748600006104,59.00000000000001
8,Bin 5,2021-08-19 17:43:59,1629391439000,0.8308408260345459,62.00000000000001
8,Bin 5,2021-08-19 17:44:02,1629391442000,3.0061278343200684,65.0
8,Bin 5,2021-08-19 17:44:05,1629391445000,0.0,68.0
8,Bin 5,2021-08-19 17:44:07,1629391447000,1.831501841545105,70.0
8,Bin 5,2021-08-19 17:44:10,1629391450000,0.0,73.0
8,Bin 5,2021-08-19 17:44:12,1629391452000,2.9708852767944336,75.0
8,Bin 5,2021-08-19 17:44:15,1629391455000,3.4995265007019043,78.0
8,Bin 5,2021-08-19 17:44:18,1629391458000,2.3393304347991943,81.0
8,Bin 5,2021-08-19 17:44:21,1629391461000,0.9990010261535645,84.0
8,Bin 5,2021-08-19 17:44:25,1629391465000,1.1244378089904783,88.0
8,Bin 5,2021-08-19 17:44:28,1629391468000,1.8389790058135984,91.0
8,Bin 5,2021-08-19 17:44:31,1629391471000,2.199413537979126,94.0
8,Bin 5,2021-08-19 17:44:33,1629391473000,2.480158805847168,96.0
8,Bin 5,2021-08-19 17:44:36,1629391476000,2.012072324752808,99.0
8,Bin 5,2021-08-19 17:44:38,1629391478000,2.909709453582764,101.0
8,Bin 5,2021-08-19 17:44:41,1629391481000,1.7003498077392578,104.0
8,Bin 5,2021-08-19 17:44:43,1629391483000,1.437642216682434,106.0
8,Bin 5,2021-08-19 17:44:46,1629391486000,3.1390602588653564,109.0
8,Bin 5,2021-08-19 17:44:49,1629391489000,2.6372573375701904,112.0
8,Bin 5,2021-08-19 17:44:51,1629391491000,4.0572524070739755,114.0
8,Bin 5,2021-08-19 17:44:54,1629391494000,1.4005602598190308,117.00000000000001
8,Bin 5,2021-08-19 17:44:56,1629391496000,3.701060056686402,119.00000000000001
8,Bin 5,2021-08-19 17:44:59,1629391499000,2.3494861125946045,122.00000000000001
8,Bin 5,2021-08-19 17:45:01,1629391501000,3.0101592540740967,124.00000000000001
8,Bin 5,2021-08-19 17:45:04,1629391504000,2.281947374343872,127.00000000000001
8,Bin 5,2021-08-19 17:45:07,1629391507000,2.2161645889282227,130.0
8,Bin 5,2021-08-19 17:45:09,1629391509000,4.750932216644287,132.0
8,Bin 5,2021-08-19 17:45:12,1629391512000,2.601040363311768,135.0
8,Bin 5,2021-08-19 17:45:15,1629391515000,2.903239250183105,138.0
8,Bin 5,2021-08-19 17:45:18,1629391518000,2.4444444179534908,141.0
8,Bin 5,2021-08-19 17:45:21,1629391521000,2.479496479034424,144.0
8,Bin 5,2021-08-19 17:45:24,1629391524000,1.9462137222290041,147.0
8,Bin 5,2021-08-19 17:45:27,1629391527000,3.5958287715911865,150.0
8,Bin 5,2021-08-19 17:45:30,1629391530000,4.200268745422363,153.0
8,Bin 5,2021-08-19 17:45:33,1629391533000,2.3163161277771,156.0
8,Bin 5,2021-08-19 17:45:35,1629391535000,3.3606667518615723,158.0
8,Bin 5,2021-08-19 17:45:38,1629391538000,3.3590199947357178,161.0
8,Bin 5,2021-08-19 17:45:42,1629391542000,2.043639659881592,165.0
8,Bin 5,2021-08-19 17:45:44,1629391544000,2.7682008743286133,167.0
8,Bin 5,2021-08-19 17:45:47,1629391547000,3.407026052474976,170.0
8,Bin 5,2021-08-19 17:45:50,1629391550000,2.598752498626709,173.0
8,Bin 5,2021-08-19 17:45:52,1629391552000,4.498106002807617,175.0
8,Bin 5,2021-08-19 17:45:55,1629391555000,1.6167775392532349,178.0
8,Bin 5,2021-08-19 17:45:58,1629391558000,3.8828353881835938,181.0
8,Bin 5,2021-08-19 17:46:00,1629391560000,2.9157555103302,183.0
8,Bin 5,2021-08-19 17:46:03,1629391563000,1.901347279548645,186.0
8,Bin 5,2021-08-19 17:46:06,1629391566000,1.7421603202819824,189.0
8,Bin 5,2021-08-19 17:46:09,1629391569000,3.216150045394897,192.0
8,Bin 5,2021-08-19 17:46:11,1629391571000,2.9905681610107417,194.0
8,Bin 5,2021-08-19 17:46:14,1629391574000,2.661752700805664,197.0
8,Bin 5,2021-08-19 17:46:17,1629391577000,4.896951198577881,200.0
8,Bin 5,2021-08-19 17:46:20,1629391580000,2.444888114929199,203.0
8,Bin 5,2021-08-19 17:46:23,1629391583000,3.73766565322876,206.0
8,Bin 5,2021-08-19 17:46:26,1629391586000,3.645293712615967,209.0
8,Bin 5,2021-08-19 17:46:29,1629391589000,2.801120519638061,212.0
8,Bin 5,2021-08-19 17:46:32,1629391592000,3.1625554561614986,215.0
8,Bin 5,2021-08-19 17:46:35,1629391595000,4.0319156646728525,218.0
8,Bin 5,2021-08-19 17:46:38,1629391598000,2.464174747467041,221.0
8,Bin 5,2021-08-19 17:46:41,1629391601000,2.32883095741272,224.0
8,Bin 5,2021-08-19 17:46:44,1629391604000,3.977092027664185,227.0
8,Bin 5,2021-08-19 17:46:46,1629391606000,2.812939405441284,229.00000000000003
8,Bin 5,2021-08-19 17:46:49,1629391609000,1.6369291543960571,232.00000000000003
8,Bin 5,2021-08-19 17:46:52,1629391612000,3.5178236961364746,235.00000000000003
8,Bin 5,2021-08-19 17:46:55,1629391615000,3.639288902282715,238.00000000000003
8,Bin 5,2021-08-19 17:46:57,1629391617000,2.579737424850464,240.00000000000003
8,Bin 5,2021-08-19 17:47:00,1629391620000,2.8629369735717773,243.00000000000003
8,Bin 5,2021-08-19 17:47:03,1629391623000,2.8628056049346924,246.00000000000003
8,Bin 5,2021-08-19 17:47:05,1629391625000,2.253718614578247,248.00000000000003
8,Bin 5,2021-08-19 17:47:08,1629391628000,2.1132712364196777,251.00000000000003
8,Bin 5,2021-08-19 17:47:11,1629391631000,3.5650622844696045,254.00000000000003
8,Bin 5,2021-08-19 17:47:14,1629391634000,1.6276041269302368,257.0
8,Bin 5,2021-08-19 17:47:18,1629391638000,1.7993701696395874,261.0
8,Bin 5,2021-08-19 17:47:20,1629391640000,2.2815423011779785,263.0
8,Bin 5,2021-08-19 17:47:24,1629391644000,3.743104696273804,267.0
8,Bin 5,2021-08-19 17:47:26,1629391646000,2.9552843570709233,269.0
8,Bin 5,2021-08-19 17:47:29,1629391649000,4.0404038429260245,272.0
8,Bin 5,2021-08-19 17:47:32,1629391652000,3.4280414581298833,275.0
8,Bin 5,2021-08-19 17:47:35,1629391655000,2.4479804039001465,278.0
8,Bin 5,2021-08-19 17:47:38,1629391658000,2.317155361175537,281.0
8,Bin 5,2021-08-19 17:47:40,1629391660000,2.790048837661743,283.0
8,Bin 5,2021-08-19 17:47:43,1629391663000,0.9359133243560792,286.0
8,Bin 5,2021-08-19 17:47:45,1629391665000,2.0519134998321533,288.0
8,Bin 5,2021-08-19 17:47:48,1629391668000,1.656726360321045,291.0
8,Bin 5,2021-08-19 17:47:51,1629391671000,1.7986905574798584,294.0
8,Bin 5,2021-08-19 17:47:54,1629391674000,3.2206118106842037,297.0
8,Bin 5,2021-08-19 17:47:57,1629391677000,3.585871696472168,300.0
8,Bin 5,2021-08-19 17:48:00,1629391680000,2.36820912361145,303.0
8,Bin 5,2021-08-19 17:48:03,1629391683000,2.1273114681243896,306.0
8,Bin 5,2021-08-19 17:48:06,1629391686000,4.072734355926514,309.0
8,Bin 5,2021-08-19 17:48:09,1629391689000,1.6551907062530518,312.0
8,Bin 5,2021-08-19 17:48:12,1629391692000,3.1965222358703613,315.0
8,Bin 5,2021-08-19 17:48:15,1629391695000,2.1319119930267334,318.0
8,Bin 5,2021-08-19 17:48:17,1629391697000,1.976284623146057,320.0
8,Bin 5,2021-08-19 17:48:20,1629391700000,1.36106276512146,323.0
8,Bin 5,2021-08-19 17:48:23,1629391703000,1.0893245935440063,326.0
8,Bin 5,2021-08-19 17:48:26,1629391706000,1.4864362478256226,329.0
8,Bin 5,2021-08-19 17:48:29,1629391709000,1.6850335597991943,332.0
8,Bin 5,2021-08-19 17:48:33,1629391713000,1.3185653686523438,336.0
8,Bin 5,2021-08-19 17:48:35,1629391715000,2.2686026096343994,338.0
8,Bin 5,2021-08-19 17:48:39,1629391719000,1.5006002187728882,342.0
8,Bin 5,2021-08-19 17:48:41,1629391721000,2.8725125789642334,344.0
8,Bin 5,2021-08-19 17:48:44,1629391724000,1.7692852020263672,347.0
8,Bin 5,2021-08-19 17:48:47,1629391727000,2.4161884784698486,350.0
8,Bin 5,2021-08-19 17:48:50,1629391730000,2.624671936035156,353.0
8,Bin 5,2021-08-19 17:48:53,1629391733000,2.2610793113708496,356.0
8,Bin 5,2021-08-19 17:48:56,1629391736000,1.4447884559631348,359.0
8,Bin 5,2021-08-19 17:48:59,1629391739000,3.1702001094818115,362.0
8,Bin 5,2021-08-19 17:49:01,1629391741000,2.4601895809173584,364.0
8,Bin 5,2021-08-19 17:49:04,1629391744000,0.9061254262924194,367.0
8,Bin 5,2021-08-19 17:49:07,1629391747000,1.8934015035629272,370.0
8,Bin 5,2021-08-19 17:49:09,1629391749000,1.4983197450637815,372.0
8,Bin 5,2021-08-19 17:49:12,1629391752000,1.7327685356140137,375.0
8,Bin 5,2021-08-19 17:49:15,1629391755000,2.12044095993042,378.0
8,Bin 5,2021-08-19 17:49:18,1629391758000,1.748557448387146,381.0
8,Bin 5,2021-08-19 17:49:21,1629391761000,0.631313145160675,384.0
8,Bin 5,2021-08-19 17:49:23,1629391763000,3.354954242706299,386.0
8,Bin 5,2021-08-19 17:49:26,1629391766000,1.1904761791229248,389.0
8,Bin 5,2021-08-19 17:49:28,1629391768000,0.9697909951210022,391.0
8,Bin 5,2021-08-19 17:49:31,1629391771000,1.4554275274276731,394.0
8,Bin 5,2021-08-19 17:49:34,1629391774000,2.1838829517364498,397.0
