nodeid,sensorname,timestamp,timestampint,reading,time_s
2,Bin 6,2021-08-19 18:18:53,1629393533000,0.0,0.0
2,Bin 6,2021-08-19 18:18:56,1629393536000,0.0,3.0
2,Bin 6,2021-08-19 18:18:58,1629393538000,0.0,5.0
2,Bin 6,2021-08-19 18:19:00,1629393540000,0.0,7.0
2,Bin 6,2021-08-19 18:19:03,1629393543000,0.0,10.0
2,Bin 6,2021-08-19 18:19:05,1629393545000,0.0,12.0
2,Bin 6,2021-08-19 18:19:08,1629393548000,0.0,15.000000000000002
2,Bin 6,2021-08-19 18:19:11,1629393551000,0.0,18.0
2,Bin 6,2021-08-19 18:19:13,1629393553000,0.0,20.0
2,Bin 6,2021-08-19 18:19:16,1629393556000,0.0,23.0
2,Bin 6,2021-08-19 18:19:19,1629393559000,0.0,26.0
2,Bin 6,2021-08-19 18:19:22,1629393562000,0.0,29.000000000000004
2,Bin 6,2021-08-19 18:19:24,1629393564000,0.0,31.000000000000004
2,Bin 6,2021-08-19 18:19:28,1629393568000,0.0,35.0
2,Bin 6,2021-08-19 18:19:30,1629393570000,0.0,37.0
2,Bin 6,2021-08-19 18:19:33,1629393573000,0.0,40.0
2,Bin 6,2021-08-19 18:19:36,1629393576000,0.20165355503559115,43.0
2,Bin 6,2021-08-19 18:19:39,1629393579000,0.0,46.0
2,Bin 6,2021-08-19 18:19:41,1629393581000,0.0,48.0
2,Bin 6,2021-08-19 18:19:44,1629393584000,0.24927088618278506,51.0
2,Bin 6,2021-08-19 18:19:46,1629393586000,0.0,53.0
2,Bin 6,2021-08-19 18:19:49,1629393589000,0.7518796920776367,56.0
2,Bin 6,2021-08-19 18:19:51,1629393591000,0.236602395772934,58.00000000000001
2,Bin 6,2021-08-19 18:19:54,1629393594000,0.24321432411670685,61.00000000000001
2,Bin 6,2021-08-19 18:19:56,1629393596000,0.7364493608474731,63.00000000000001
2,Bin 6,2021-08-19 18:19:58,1629393598000,0.4993757903575897,65.0
2,Bin 6,2021-08-19 18:20:01,1629393601000,0.2564102709293365,68.0
2,Bin 6,2021-08-19 18:20:03,1629393603000,0.7504502534866333,70.0
2,Bin 6,2021-08-19 18:20:06,1629393606000,0.7561436891555786,73.0
2,Bin 6,2021-08-19 18:20:08,1629393608000,0.7337295413017273,75.0
2,Bin 6,2021-08-19 18:20:11,1629393611000,0.7350779175758362,78.0
2,Bin 6,2021-08-19 18:20:13,1629393613000,0.24249479174613955,80.0
2,Bin 6,2021-08-19 18:20:16,1629393616000,1.465201497077942,83.0
2,Bin 6,2021-08-19 18:20:18,1629393618000,0.4984050989151001,85.0
2,Bin 6,2021-08-19 18:20:20,1629393620000,1.2138279676437378,87.0
2,Bin 6,2021-08-19 18:20:23,1629393623000,0.42714962363243103,90.0
2,Bin 6,2021-08-19 18:20:25,1629393625000,0.9137426614761353,92.0
2,Bin 6,2021-08-19 18:20:28,1629393628000,0.8945744037628174,95.0
2,Bin 6,2021-08-19 18:20:30,1629393630000,1.5410016775131226,97.0
2,Bin 6,2021-08-19 18:20:33,1629393633000,2.265108346939087,100.0
2,Bin 6,2021-08-19 18:20:35,1629393635000,1.934984564781189,102.0
2,Bin 6,2021-08-19 18:20:38,1629393638000,1.8853695392608645,105.0
2,Bin 6,2021-08-19 18:20:40,1629393640000,1.934984564781189,107.0
2,Bin 6,2021-08-19 18:20:43,1629393643000,2.3538272380828857,110.0
2,Bin 6,2021-08-19 18:20:45,1629393645000,3.620914459228516,112.0
2,Bin 6,2021-08-19 18:20:48,1629393648000,2.5462963581085205,115.00000000000001
2,Bin 6,2021-08-19 18:20:50,1629393650000,3.5304501056671143,117.00000000000001
2,Bin 6,2021-08-19 18:20:52,1629393652000,3.4696407318115234,119.00000000000001
2,Bin 6,2021-08-19 18:20:55,1629393655000,1.6835017204284668,122.00000000000001
2,Bin 6,2021-08-19 18:20:57,1629393657000,1.7425940036773682,124.00000000000001
2,Bin 6,2021-08-19 18:21:00,1629393660000,3.007518768310547,127.00000000000001
2,Bin 6,2021-08-19 18:21:02,1629393662000,5.090094566345215,129.0
2,Bin 6,2021-08-19 18:21:05,1629393665000,4.752851486206055,132.0
2,Bin 6,2021-08-19 18:21:07,1629393667000,1.976186990737915,134.0
2,Bin 6,2021-08-19 18:21:10,1629393670000,3.0249440670013428,137.0
2,Bin 6,2021-08-19 18:21:12,1629393672000,2.0761964321136475,139.0
2,Bin 6,2021-08-19 18:21:14,1629393674000,4.2244224548339835,141.0
2,Bin 6,2021-08-19 18:21:17,1629393677000,4.8587913513183585,144.0
2,Bin 6,2021-08-19 18:21:20,1629393680000,3.1865041255950928,147.0
2,Bin 6,2021-08-19 18:21:23,1629393683000,3.0770902633666988,150.0
2,Bin 6,2021-08-19 18:21:25,1629393685000,1.6932753324508667,152.0
2,Bin 6,2021-08-19 18:21:28,1629393688000,4.012197017669679,155.0
2,Bin 6,2021-08-19 18:21:31,1629393691000,2.267573595046997,158.0
2,Bin 6,2021-08-19 18:21:34,1629393694000,4.518381595611572,161.0
2,Bin 6,2021-08-19 18:21:36,1629393696000,3.831580638885498,163.0
2,Bin 6,2021-08-19 18:21:39,1629393699000,4.2470221519470215,166.0
2,Bin 6,2021-08-19 18:21:42,1629393702000,4.452187538146973,169.0
2,Bin 6,2021-08-19 18:21:44,1629393704000,4.422021865844727,171.0
2,Bin 6,2021-08-19 18:21:47,1629393707000,3.1972453594207764,174.0
2,Bin 6,2021-08-19 18:21:49,1629393709000,4.429351806640625,176.0
2,Bin 6,2021-08-19 18:21:52,1629393712000,3.1676414012908936,179.0
2,Bin 6,2021-08-19 18:21:54,1629393714000,5.51400089263916,181.0
2,Bin 6,2021-08-19 18:21:57,1629393717000,4.43004035949707,184.0
2,Bin 6,2021-08-19 18:21:59,1629393719000,4.830695629119873,186.0
